YEAR    JAN    FEB    MAR    APR    MAY    JUN    JUL    AUG    SEP    OCT    NOV    DEC   D-J-F   M-A-M   J-J-A   S-O-N  metANN
1988   -2.6   -2.3   -1.7    4.6   13.8   16.9   18.6   15.6   12.7    5.7   -1.6   -2.8    -2.1     5.6    17.0     5.6    6.52
1989    1.6    2.3    3.3    7.6   12.8   15.8   17.6   15.7   12.8    8.0    0.2   -2.0     0.4     7.9    16.4     7.0    7.91
1990    0.6    3.7    4.7    7.9   11.5   15.1   15.7   16.2   10.1    7.0    3.2   -1.7     0.8     8.0    15.7     6.8    7.81
1991   -0.3   -0.9    1.6    6.4   10.2   14.2   17.9   17.5   12.8    6.8    2.9   -0.5    -1.0     6.1    16.5     7.5    7.28
1992   -1.2   -0.5    2.2    4.9   12.5   17.2   18.7   18.1   12.2    3.3    1.6   -0.6    -0.7     6.5    18.0     5.7    7.38
1993   -0.4   -0.8   -0.8    7.5   15.6   13.8   15.6   14.5    9.4    6.2   -1.2   -0.3    -0.6     7.4    14.6     4.8    6.57
1994   -0.1   -0.3   -0.2    7.9   10.9   13.7   20.4   17.6   13.6    5.4    1.5   -0.6    -0.2     6.2    17.2     6.8    7.51
1995   -1.0   -1.0    1.8    6.8   11.2   16.9   17.8   17.2   12.0    8.3   -0.9   -0.4    -0.9     6.6    17.3     6.5    7.38
1996   -1.0   -1.0   -0.7    6.8   13.2   14.8   15.3   18.6    9.9    7.9    4.4   -0.4    -0.8     6.4    16.2     7.4    7.32
1997   -0.7   -0.1    0.8    4.0   11.2   15.7   18.2   18.8   11.7    5.5    1.7   -0.5    -0.4     5.3    17.6     6.3    7.20
1998   -0.2    0.6   -0.3    8.2   13.1   16.5   16.0   14.5   11.9    6.5   -0.4   -0.9    -0.0     7.0    15.7     6.0    7.16
1999   -0.4   -0.4    1.9    9.0   10.4   18.8   19.7   16.5   14.1    6.9    0.9   -0.8    -0.6     7.1    18.3     7.3    8.04
2000   -0.8    0.7    1.6   11.2   12.8   14.8   15.9   15.8   10.3    9.3    5.1    0.9    -0.3     8.5    15.5     8.2    7.99
2001   -1.3   -3.3   -0.5    7.8   12.7   14.1   20.6   17.6   11.9    8.7    2.0   -5.8    -1.2     6.7    17.4     7.5    7.60
2002   -1.8    1.7    3.0    7.9   15.4   16.5   20.3   20.1   12.5    4.5    1.6   -8.4    -2.0     8.8    19.0     6.2    7.99
2003   -5.3   -5.9    0.5    5.3   13.5   15.3   20.0   17.0   12.6    4.6    3.6    0.5    -6.5     6.4    17.4     6.9    6.07
2004   -7.5   -2.1    1.5    7.3   10.9   14.1   16.5   17.8   12.6    8.2    1.3    1.2    -3.0     6.6    16.1     7.4    6.76
2005   -0.4   -5.6   -3.5    7.4   12.0   14.9   18.9   16.6   14.1    7.9    2.7   -1.6    -1.6     5.3    16.8     8.2    7.18
2006   -7.2   -6.3   -2.7    6.5   12.5   16.5   20.9   17.8   14.6    9.7    4.4    4.0    -5.0     5.4    18.4     9.6    7.09
2007    1.3   -6.2    5.2    7.1   13.6   17.8   17.1   18.5   12.8    7.6    0.9    0.8    -0.3     8.6    17.8     7.1    8.31
2008   -0.5    2.1    2.5    8.8   12.3   16.0   18.1   17.9   12.2    8.7    3.3    0.3     0.8     7.9    17.3     8.1    8.52
2009   -3.4   -3.4    0.9    8.9   12.7   14.8   18.4   16.9   13.8    5.4    3.9   -2.5    -2.2     7.5    16.7     7.7    7.43
2010  -10.2   -3.9    0.1    7.4   13.7   16.5   21.9   19.7   12.0    4.7    4.0   -7.8    -5.5     7.1    19.4     6.9    6.95
2011   -2.9   -7.4    0.1    9.0   12.7   18.1   19.6   17.5   13.6    7.4    3.5    1.9    -6.0     7.3    18.4     8.2    6.95
2012   -2.9   -9.1    1.9    7.7   13.8   15.3   19.4   17.1   13.3    7.4    4.8   -4.3    -3.4     7.8    17.3     8.5    7.55
2013   -6.7   -1.0   -3.8    5.5   16.1   18.5   18.6   18.1   12.3    8.7    5.0    1.7    -4.0     5.9    18.4     8.7    7.25
2014   -5.2    0.1    5.2    9.1   13.4   14.7   20.6   17.7   13.5    7.4    2.8   -0.9    -1.1     9.2    17.7     7.9    8.42
2015   -0.4    0.0    4.6    7.1   11.5   15.4   17.4   20.2   14.3    6.2    4.9    2.5    -0.4     7.7    17.7     8.5    8.36
2016   -6.9    1.6    2.1    7.4   15.3   17.2   18.0   16.9   13.5    5.3    1.2    0.4    -0.9     8.3    17.4     6.7    7.84
2017   -3.7   -1.5    3.7    5.6   12.9   15.4   16.8   17.4   13.4    7.6  999.9  999.9    -1.6     7.4    16.5   999.9  999.90

