id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
14945125,"Beautiful, classic and big apartment in center.",7381296,Rasmus,,Frederiksberg,55.68291887565556,12.550234051331557,Entire home/apt,498,2,3,2017-05-23,0.49,1,10
856706,Classic cosy student appartment,3628837,Carsten,,Frederiksberg,55.684874888378125,12.551879353000393,Private room,491,2,119,2017-06-12,2.22,1,75
8918361,"Charming apartment, french balconys",11147910,Anne,,Frederiksberg,55.669150750916295,12.500618346690135,Entire home/apt,597,5,10,2017-04-17,0.50,1,184
17959848,Charming apartment with a view,5947541,Anna,,Frederiksberg,55.68797824792447,12.538367389669737,Entire home/apt,743,1,5,2017-05-27,2.50,1,106
11275393,"Unique penthouse apartment, 105m2",55146057,Gunilla,,Frederiksberg,55.67789098068674,12.531009818224105,Entire home/apt,903,1,10,2016-05-15,0.63,1,0
13456849,Modern and nice apartment near the Zoo,76733027,Nadia,,Frederiksberg,55.66925178927892,12.516259280118398,Entire home/apt,750,6,1,2016-08-01,0.09,1,0
6619894,We have a 3 room nice and cosy flat,34647442,Cay Berg,,Frederiksberg,55.68538241936231,12.528379656773286,Entire home/apt,750,3,0,,,1,0
4391861,Quiet studio apartment,22799443,Lene,,Frederiksberg,55.67420378384376,12.5025358715162,Entire home/apt,398,3,2,2016-01-05,0.09,1,0
3474430,Homey app. central located in CPH,13556393,Mette Buhl,,Frederiksberg,55.68638877772131,12.534495566612728,Entire home/apt,670,2,10,2016-12-05,0.40,1,346
4260854,Central apartment in Frederiksberg,15450780,Stefan,,Frederiksberg,55.68816704817458,12.539860451203138,Entire home/apt,597,2,31,2017-06-11,0.95,1,10
13767533,Apartment on Frederiksberg perfectly located,51329005,Jacob,,Frederiksberg,55.68705795123772,12.532315728749767,Entire home/apt,451,2,4,2016-07-20,0.35,1,0
15270958,"Perfect location, perfect room",48708307,Gustavo,,Frederiksberg,55.675490013165884,12.547104723305939,Private room,498,1,0,,,1,31
16122980,"Nice room, cafes, metro and shops.",20874754,Sofie,,Frederiksberg,55.683430560568944,12.531908134232584,Private room,498,1,1,2016-12-11,0.16,3,175
9916232,"Amazing Frederiksberg, Copenhagen",50982517,Michael,,Frederiksberg,55.68935102355493,12.535059342604116,Entire home/apt,597,1,0,,,1,0
16322029,"Lovely place in front of park, 5 min from City.",106823151,Johnny,,Frederiksberg,55.66710901877111,12.52391203024974,Private room,551,2,0,,,1,0
17632783,Falkoner Alle 61 - Best Stay Copenhagen,2702857,Byron,,Frederiksberg,55.68538648742378,12.538218905552732,Entire home/apt,1049,2,2,2017-04-30,1.00,9,5
4722230,Villa apartment quiet surroundings,22337869,Philip,,Frederiksberg,55.67589686198603,12.543531560489376,Entire home/apt,1002,4,0,,,1,0
7016081,A cozy apartment in Frederiksberg,20072575,Sami,,Frederiksberg,55.69222194443026,12.531356044891568,Entire home/apt,451,2,5,2015-10-14,0.21,1,0
18680310,Newly renovated apartment by the lakes in CPH,50255709,Julie,,Frederiksberg,55.678973930150335,12.554978166041462,Entire home/apt,1201,5,0,,,1,13
8130321,Lyst værelse på Frederiksberg,42932047,Nina,,Frederiksberg,55.689514458422146,12.533310586169497,Private room,299,3,0,,,2,0
13635357,Absolut Frederiksbergs mest lyse lejlighed,79073264,Michael,,Frederiksberg,55.67623837636195,12.519312575717663,Entire home/apt,2980,6,0,,,1,0
2819660,Lovely apartment near city center,14344034,Jesper,,Frederiksberg,55.68179586636102,12.55288944556699,Entire home/apt,724,2,11,2016-10-12,0.31,2,257
12848997,Bright & cosy 4-room apt. close to trendy Nørrebro,12698944,Johan,,Frederiksberg,55.68433907347587,12.54903728819516,Entire home/apt,830,3,4,2017-04-16,0.75,1,0
11076026,"",1809318,Michael,,Frederiksberg,55.67946021172002,12.556525225294058,Entire home/apt,485,1,0,,,1,0
15075188,Lovely room in the heart of Frederiksberg,52618477,Thomas,,Frederiksberg,55.68367041785754,12.52776873403032,Private room,299,3,0,,,3,0
14550937,Cozy and feels like home Frederiksberg apartment,37983941,Mark,,Frederiksberg,55.692795239818686,12.535391636128827,Entire home/apt,850,2,3,2016-12-25,0.32,1,295
18419775,"Cosy, quirky, central, quiet + big balcony",2986283,Cecilia,,Frederiksberg,55.67698252418536,12.553638185807372,Entire home/apt,1002,2,4,2017-05-28,2.50,2,0
3539643,Hyggelig lejlighed med 4 værelser,17818905,Tanja,,Frederiksberg,55.69376254201249,12.53414992834991,Entire home/apt,1042,2,11,2017-05-08,0.88,2,255
7016552,Apartment in heart of Copenhagen,36781122,Philip,,Frederiksberg,55.68284530604931,12.514764547880656,Entire home/apt,1102,1,1,2015-07-20,0.04,1,0
8914955,"Apartment in Copenhagen, Denmark",46624016,Sofie Yung,,Frederiksberg,55.68334119863228,12.501996548128513,Entire home/apt,451,1,3,2015-11-09,0.15,1,0
1181799,"Central, spacious & cheap apt  ",6464240,Sarah,,Frederiksberg,55.68246750380588,12.53550357767162,Entire home/apt,797,10,4,2016-08-07,0.11,2,18
5494812,PENTHOUSE WITH GREAT ROOF TERRACE,28494844,Wyrna,,Frederiksberg,55.67118201263055,12.496960543057934,Entire home/apt,996,3,29,2017-06-04,1.16,1,149
11735246,Newly renovated flat,1241635,Khaled,,Frederiksberg,55.69337785906903,12.530136754747735,Entire home/apt,597,3,0,,,2,51
6359211,2 rooms w. kitchen and bath,33128626,Jonas,,Frederiksberg,55.667381884101175,12.519875405187289,Private room,398,1,3,2016-10-10,0.12,1,365
8587477,Small cozy flat in Copenhagen,45194105,Gabriela,,Frederiksberg,55.67918775063505,12.5198278497672,Entire home/apt,651,1,23,2017-06-11,1.20,1,98
18682129,Most beautiful apartement on Frederiksberg,107262130,Alexander,,Frederiksberg,55.686380444303666,12.527728202213321,Entire home/apt,498,3,0,,,1,3
13963579,Cozy apartment 5 min walk to Lindevang metro st,76742515,Mumina,,Frederiksberg,55.682587702009386,12.50877627041294,Entire home/apt,551,2,7,2017-06-06,0.67,1,49
3148150,Spacious apartment in Copenhagen,11249831,Lone,,Frederiksberg,55.676286812824074,12.550808582600341,Entire home/apt,949,5,0,,,1,0
3278558,Great spot. Spacious flat w balcony,10746978,Kristoffer,,Frederiksberg,55.680602556000345,12.552704983585922,Entire home/apt,903,2,15,2016-01-05,0.43,1,0
2623900,Cozy and bright 2 room apartment,13401676,Felix,,Frederiksberg,55.67888886843504,12.530732238708643,Entire home/apt,398,10,7,2016-08-21,0.20,1,28
13817587,Charming flat with a balcony,81386826,Maja,,Frederiksberg,55.69119715217152,12.534039700076903,Entire home/apt,697,2,3,2017-04-14,0.51,1,161
19007962,Cosy Frederiksberg apartment with a balcony,132611994,Mette,,Frederiksberg,55.68087167165368,12.51455806238116,Entire home/apt,498,2,0,,,1,4
3410430,Room in Frederiksberg,17196168,Christoffer,,Frederiksberg,55.69210205436985,12.532930110193163,Private room,551,1,0,,,1,0
13490393,House In Exclusive Urban Area,13769824,Allan,,Frederiksberg,55.690333362563045,12.521458242096525,Entire home/apt,1268,3,0,,,1,44
4262437,Udsigtslejlighed på Frederiksberg,21929319,Jakob,,Frederiksberg,55.685032897310165,12.531817500586643,Entire home/apt,451,5,0,,,1,0
509143,Lovely 3 room flat in hip area,2047602,Katrine,,Frederiksberg,55.678638560144755,12.551951137184032,Entire home/apt,748,2,23,2017-02-14,0.39,1,311
1062202,Townhouse oasis in best part of Cph,5847190,Rikke & Peter,,Frederiksberg,55.6732643421869,12.546587203935157,Entire home/apt,1447,2,0,,,1,287
5976923,"Bright apartment, great location",31029099,Paw And Sofie,,Frederiksberg,55.67234598126213,12.539398876171935,Entire home/apt,1201,2,14,2017-05-28,0.56,1,299
6794161,Cosy apartment in Copenhagen,35564286,Cecilie Orland,,Frederiksberg,55.66953647745595,12.515222075568069,Entire home/apt,497,4,16,2016-08-11,0.67,1,0
6922439,Cute 2-bedroom flat Frederiksberg,36282531,Olivia,,Frederiksberg,55.684309454744024,12.536350262117358,Entire home/apt,702,1,2,2015-10-31,0.10,1,73
19236808,Super ren lejlighed,134660219,Maria,,Frederiksberg,55.68984816178665,12.520746418339424,Entire home/apt,697,3,0,,,1,5
11673988,Byhus med egen have,5335752,Robin,,Frederiksberg,55.68023068507974,12.550323601605738,Entire home/apt,1600,7,0,,,1,0
4920780,"Elegant aptm. w/ perfect location.
",25345187,Bjarte,,Frederiksberg,55.67946979531798,12.523247988645615,Entire home/apt,651,1,1,2015-07-31,0.04,1,0
14528650,Bright and modern apartment central in copenhagen,16700455,Tenna,,Frederiksberg,55.68584732838378,12.538259310258557,Entire home/apt,651,5,4,2016-11-06,0.40,1,0
4011435,"Central Copenhagen, Frederiksberg",17249298,Marianne,,Frederiksberg,55.67953202777979,12.550012694473208,Entire home/apt,750,14,8,2017-05-01,0.38,1,167
3952180,Perfectly located charming home,20479667,Anders,,Frederiksberg,55.67989783929234,12.533950493346968,Entire home/apt,1000,10,0,,,1,0
351102,Cozy apartment near the center,809774,Maja,,Frederiksberg,55.689397626383254,12.528966279711467,Entire home/apt,603,5,49,2017-04-14,0.78,1,32
18117636,Cosy room in the central part of town,102015,Niels,,Frederiksberg,55.68227037724708,12.53971977529921,Private room,397,3,4,2017-05-30,2.93,1,158
4743774,Bright & Spacious Apartment,24485172,Gitte,,Frederiksberg,55.687350774125136,12.528526633825198,Entire home/apt,649,2,10,2016-06-21,0.37,1,102
2997610,"Big, cosy and cheap in Copenhagen",15280415,Kasper,,Frederiksberg,55.68700545434141,12.528340091223138,Entire home/apt,450,1,19,2016-07-29,0.53,1,0
2196103,"Copenhagen, Fr.berg , metro close",11159542,Pernille,,Frederiksberg,55.67744349932977,12.531556303303224,Entire home/apt,1199,1,1,2015-12-21,0.06,1,0
18055888,A Home away from Home for a Family,124270890,Bojana,,Frederiksberg,55.68148286766605,12.53375279048242,Entire home/apt,748,2,1,2017-05-15,0.94,1,9
18973452,Stylish 3 room apartment in lovely Frederiksberg,84071777,Thomas Bremer,,Frederiksberg,55.680148550518396,12.515088416636367,Entire home/apt,927,2,0,,,1,2
6325003,Top location and family friendly,17254671,Anne,,Frederiksberg,55.676882751868746,12.53905637970644,Entire home/apt,901,3,0,,,1,0
18121514,Scandi style in central Copenhagen,123704451,Rikke,,Frederiksberg,55.67837825688656,12.55322670547063,Entire home/apt,702,14,1,2017-04-16,0.49,1,15
10322762,3-rooms + balcony in central cph,2125921,Christiane,,Frederiksberg,55.67997515433159,12.53188865873188,Entire home/apt,748,3,1,2016-01-19,0.06,1,363
5997402,Frederiksberg townhouse,31137031,Sofie,,Frederiksberg,55.679478682579806,12.523640075130523,Entire home/apt,1040,6,2,2016-08-10,0.09,1,266
3719314,Beautiful old apartment in the green Frederiksberg,18707670,Erik,,Frederiksberg,55.676030906894624,12.539968057255638,Entire home/apt,1000,5,5,2017-04-23,0.46,1,12
13992888,Unik villalejlighed med beliggenhed i særklasse!,83551338,Ulrik,,Frederiksberg,55.68481293852592,12.516860098870268,Entire home/apt,1298,5,0,,,1,0
1672142,Apartment in heart of Copenhagen,1756590,Ashraf,,Frederiksberg,55.675857272134316,12.548847949400775,Entire home/apt,629,2,45,2017-06-02,1.00,1,49
18187238,Light and welcoming apartment in Frederiksberg,125499757,Anna,,Frederiksberg,55.682489139268256,12.537213378104084,Entire home/apt,702,2,0,,,1,22
6980594,Classic flat neighboring Carlsberg,36600289,Lill,,Frederiksberg,55.670786492410265,12.535903025190612,Entire home/apt,1152,2,10,2017-06-03,0.44,1,0
16811004,Beautiful apartment in the heart of Frederiksberg,4360921,Iben,,Frederiksberg,55.68097603732193,12.535334753309,Entire home/apt,1199,3,4,2017-05-19,1.25,1,170
8175786,WONDERFUL apt. in Frederiksberg!,43148803,Selma,,Frederiksberg,55.684191368512785,12.538329614580597,Entire home/apt,649,3,3,2016-04-10,0.16,1,0
7898169,Great apt in CPH's hottest nbhood,41643289,Helene Büttner,,Frederiksberg,55.669277772800605,12.530783053939139,Entire home/apt,702,2,8,2016-12-05,0.39,1,0
2720851,hyggelig lejlighed på Frederiksberg,13387249,Lis,,Frederiksberg,55.69230288843985,12.529278591447195,Entire home/apt,1199,5,0,,,1,365
19170405,"Colorful and cosy apartment in Frederiksberg, CPH",5021992,Maria Denise,,Frederiksberg,55.676182039120825,12.518875024588004,Entire home/apt,1000,1,0,,,1,70
11961446,Bright big childfriendly apartment,2586651,Therese,,Frederiksberg,55.67935367268157,12.545290354492863,Private room,2497,3,2,2017-05-27,0.28,1,129
17400958,Studio Apartment,49199343,Asit,,Frederiksberg,55.66999973369999,12.51635921088411,Entire home/apt,397,5,2,2017-06-06,0.72,1,252
18515105,Modern apartment in central Frederiksberg,66335759,Elissa,,Frederiksberg,55.68348988110175,12.54600923802745,Entire home/apt,702,3,0,,,1,77
18973858,Cozy place in the hart of Copenhagen,65212765,Annette,,Frederiksberg,55.684037750930344,12.532136604793294,Entire home/apt,603,3,0,,,1,7
18056395,"Cozy, peaceful flat near the centre",35314244,Tobias,,Frederiksberg,55.68766042742385,12.505870149143307,Entire home/apt,596,4,0,,,2,93
1344750,"Charming, quiet and central appartment",7278186,Boel,,Frederiksberg,55.679272677140204,12.553910862892279,Entire home/apt,735,4,9,2017-06-10,0.87,1,64
18908438,Private Huge balcony apartment,64069145,Søren,,Frederiksberg,55.68200491824681,12.509295803984507,Entire home/apt,1252,3,0,,,2,56
14976273,Super central and quiet room in Frederiksberg,69851496,Martin,,Frederiksberg,55.684336742668776,12.547637109720627,Private room,298,1,52,2017-05-25,5.65,1,1
12879159,Lovely apartment with sunny garden,70464707,Christian Lærke,,Frederiksberg,55.686572275640444,12.53181967012682,Entire home/apt,583,2,1,2016-07-30,0.09,1,0
18974048,Double room apartment for a romantic stay in CPH,29854823,George,,Frederiksberg,55.69054767256525,12.529568862753221,Entire home/apt,735,2,0,,,1,71
7505258,Cozy 3rooms apart near central Cph.,24324151,Dana Østergaard,,Frederiksberg,55.68382802689087,12.534117090407003,Entire home/apt,954,5,1,2015-08-17,0.04,1,363
3179925,Family friendly in centrum,11539808,Sheila,,Frederiksberg,55.67585699300642,12.553442950182509,Entire home/apt,1152,5,10,2016-08-05,0.28,1,3
14189958,Lækker 3v i København!,62753472,Astrid,,Frederiksberg,55.695032278846405,12.534871257566433,Entire home/apt,702,2,4,2017-06-11,0.40,1,138
9519344,Cozy Room in Frederiksberg,23323110,Lilje,,Frederiksberg,55.6907497972708,12.53114353588858,Private room,225,2,1,2015-12-28,0.06,1,0
3709173,Bright room with private balcony,5166267,Mathias,,Frederiksberg,55.68754446029893,12.530770897301132,Private room,497,3,13,2017-05-04,0.56,2,0
1869256,"Cozy apartment with a homely feel, next to metro",9743471,Nina,,Frederiksberg,55.68243268730669,12.51447973288624,Entire home/apt,596,3,6,2017-06-04,0.46,1,139
755183,Danish Experience in an Irish home!,3973865,Siobhan,,Frederiksberg,55.686167966301255,12.536180891486747,Entire home/apt,576,2,21,2017-06-05,0.39,1,5
18646533,Hyggelige 77 kvm på Frb.,32549930,Lise,,Frederiksberg,55.673631951932684,12.507688002297611,Entire home/apt,649,1,1,2017-05-13,0.88,1,325
6981121,2-bedroom in hip Vesterbro area,2627292,Leslie,,Frederiksberg,55.67117851851685,12.538492922550557,Entire home/apt,649,4,8,2016-10-24,0.35,1,5
17008161,Spacious Double Room in Frederiksberg,58874887,Julia,,Frederiksberg,55.69394341215686,12.52857966584792,Private room,351,1,0,,,2,165
4884008,"Cosy and newly renov. apartment,Frb",25126688,Janne,,Frederiksberg,55.67639036530495,12.549784772355077,Entire home/apt,987,1,0,,,1,0
530017,Light & Bright Frederiksberg Loft,278430,Tariq,,Frederiksberg,55.68511141918805,12.536503542932577,Entire home/apt,768,4,16,2017-06-05,0.27,2,7
17008220,Skøn Frederiksberg lejlighed med have,114013965,Else-Marie,,Frederiksberg,55.68355996385664,12.552131339678189,Entire home/apt,497,2,9,2017-05-26,2.20,1,18
11568743,Central & cosy 2-room apartment,61058026,Leonora Sofie,,Frederiksberg,55.68005916304628,12.533845353629612,Entire home/apt,450,2,2,2017-05-21,1.87,1,54
7177834,Perfect flat for families with kids,36223462,Rikke,,Frederiksberg,55.68221295545529,12.535392967200373,Entire home/apt,1000,4,21,2017-05-07,0.92,1,0
10651266,"",8069199,Sidsel,,Frederiksberg,55.683933244915195,12.53724189998125,Entire home/apt,1086,2,6,2016-08-19,0.45,1,21
10724774,Lovely apartment in Copenhagen,30349152,Anders,,Frederiksberg,55.69530367812644,12.532617945655229,Entire home/apt,656,1,4,2016-08-22,0.34,1,0
4163237,Cosy room with great location,4814454,Lucas,,Frederiksberg,55.68432225549319,12.551621836592934,Private room,298,2,36,2017-06-05,1.10,1,358
13320493,Cozy apartment in Frederiksberg,62749654,Virginia,,Frederiksberg,55.681034237557185,12.54682061893578,Entire home/apt,742,30,1,2016-08-25,0.10,1,87
4789904,Centralt beliggende City lejlighed,24689376,Nicolai,,Frederiksberg,55.673611144561114,12.554070546747017,Entire home/apt,676,1,90,2017-05-31,4.01,1,303
3114908,"private villa, greenhouse & garden",15827740,Line Hyldgaard,,Frederiksberg,55.67986600324862,12.535549081635656,Entire home/apt,3497,2,13,2017-06-02,0.42,1,347
16680960,Spacious modern appartment in the city centre,3710417, Lars,,Frederiksberg,55.677463638162045,12.54614414454788,Entire home/apt,1000,1,3,2017-04-14,0.57,1,0
14190593,Central room with large bed in Copenhagen,86024517,Lyuda,,Frederiksberg,55.68212687014752,12.545636531071905,Private room,278,2,2,2016-08-10,0.19,1,0
231411,Overlooking the roofs of Copenhagen,1210000,Annette,,Frederiksberg,55.675490777395,12.552649224480328,Entire home/apt,735,2,62,2017-05-31,0.90,1,198
18384939,Lovely room in central Copenhagen.,47625025,Emilie Josephine Dhjorthi,,Frederiksberg,55.67524085785583,12.541298528114696,Private room,437,1,0,,,1,0
18516062,Great place close to everything in Cph,116034930,Benedikte,,Frederiksberg,55.68611961483793,12.528985302912835,Entire home/apt,748,5,2,2017-06-12,2,1,157
