YEAR	JAN	FEB	MAR	APR	MAY	JUN	JUL	AUG	SEP	OCT	NOV	DEC	DJF	MAM	JJA	SON	metANN
1990	4.1	5.8	6.5	8.8	13.9	16.2	17.1	17.7	12.5	10.2	4.8	2.7	4.1	9.7	17.0	9.2	10.00
1991	2.3	-0.2	4.6	7.3	10.7	12.7	18.8	17.9	14.3	9.4	5.4	3.1	1.6	7.5	16.5	9.7	8.83
1992	2.8	3.4	4.4	7.0	14.5	18.8	18.9	17.5	13.5	7.0	5.3	3.3	3.1	8.6	18.4	8.6	9.68
1993	2.5	1.5	3.6	8.5	14.9	15.3	15.5	15.2	11.3	7.8	2.7	2.8	2.4	9.0	15.3	7.3	8.51
1994	2.9	-0.8	3.8	8.7	12.0	14.6	21.4	18.2	13.6	8.3	6.6	4.3	1.6	8.2	18.1	9.5	9.34
1995	0.6	3.9	3.3	6.9	11.2	15.2	18.4	19.3	13.4	12.0	3.7	-1.3	2.9	7.1	17.6	9.7	9.35
1996	-1.5	-2.6	0.2	7.8	9.6	14.7	15.7	18.4	12.2	9.9	5.0	-0.5	-1.8	5.9	16.3	9.0	7.34
1997	-1.1	3.0	4.2	6.2	11.0	16.4	18.7	21.9	14.3	8.3	5.1	3.0	0.5	7.1	19.0	9.2	8.96
1998	2.7	5.5	3.7	7.6	13.0	15.1	15.5	15.7	14.1	9.1	2.5	1.8	3.7	8.1	15.4	8.6	8.96
1999	2.4	1.2	3.9	8.7	11.4	15.4	19.0	17.6	17.0	9.9	6.0	2.7	1.8	8.0	17.3	11.0	9.53
2000	2.9	4.0	4.3	9.7	13.8	15.1	16.2	16.4	13.8	11.9	8.0	4.4	3.2	9.3	15.9	11.2	9.90
2001	2.9	1.2	2.0	6.6	13.0	14.4	19.2	18.0	13.1	12.3	5.4	0.9	2.8	7.2	17.2	10.3	9.38
2002	2.6	4.4	4.8	7.6	13.6	16.7	18.5	20.7	15.3	7.6	4.8	0.4	2.6	8.7	18.6	9.2	9.79
2003	0.4	-1.1	3.8	7.3	12.6	16.8	19.0	18.7	14.7	6.9	7.2	4.3	-0.1	7.9	18.2	9.6	8.89
2004	-0.4	2.1	4.2	8.7	12.3	14.4	15.9	18.8	14.5	10.1	5.5	4.0	2.0	8.4	16.4	10.0	9.20
2005	3.5	0.6	1.8	8.2	12.1	14.9	18.8	16.5	15.2	11.4	6.3	2.6	2.7	7.4	16.7	11.0	9.44
2006	-0.7	0.5	0.1	6.5	12.2	16.8	21.6	18.0	16.9	12.7	8.0	7.1	0.8	6.3	18.8	12.5	9.60
2007	5.0	2.2	6.9	9.8	13.1	17.3	16.6	17.8	13.6	9.2	5.4	4.1	4.8	9.9	17.2	9.4	10.33
2008	4.3	5.2	4.2	8.4	13.5	16.2	18.8	17.8	14.0	10.2	6.5	3.3	4.5	8.7	17.6	10.2	10.27
2009	1.3	0.9	4.2	10.5	12.7	15.1	19.0	18.7	15.4	8.3	7.7	1.8	1.8	9.1	17.6	10.5	9.76
2010	-2.4	-1.1	3.4	8.0	10.6	15.4	20.6	17.5	13.4	8.8	3.9	-3.1	-0.6	7.3	17.8	8.7	8.33
2011	0.4	0.2	3.6	11.1	12.7	16.8	17.8	17.2	14.9	10.2	7.3	4.7	-0.8	9.1	17.3	10.8	9.09
2012	2.6	0.1	6.5	7.2	13.4	14.1	NaN	NaN	18.2	9.2	6.8	1.0	2.5	9.0	NaN	11.4	10.36
2013	0.8	0.2	0.1	7.0	13.7	16.3	19.3	18.4	13.9	11.7	6.6	5.3	0.7	6.9	18.0	10.7	9.08
2014	1.9	NaN	NaN	9.7	13.1	16.1	20.8	17.1	15.0	12.3	8.2	NaN	3.3	9.1	18.0	11.8	10.56
2015	3.1	2.1	5.2	8.3	11.2	14.5	17.4	18.6	14.3	10.2	7.8	6.9	3.2	8.2	16.8	10.8	9.75
2016	0.7	3.0	4.5	7.6	14.7	17.6	18.0	17.3	17.1	9.5	4.8	5.0	3.5	8.9	17.6	10.5	10.14
2017	1.5	2.5	5.5	7.3	13.3	16.2	16.8	17.4	14.2	11.3	NaN	NaN	3.0	8.7	16.8	NaN	NaN
